k,depth,random_state,accuracy_train,accuracy_test,discrimination_train,discrimination_train_pred,discrimination_test,min_supp,clf.tree_,discrimination_relab_1,accuracy_relab_1,discrimination_relab_2,accuracy_relab_2,discrimination_relab_3,accuracy_relab_3,discrimination_relab_0.0,accuracy_relab_0.0,discrimination_relab_0.1,accuracy_relab_0.1,discrimination_relab_0.2,accuracy_relab_0.2,discrimination_relab_0.3,accuracy_relab_0.3
0,2,11,0.86124402,0.84615384,0.27324459,0.15306712,0.46666666,2,<sklearn.tree._tree.Tree object at 0x7ff3204d5e30>,-0.02411266,0.7033,-0.17717979,0.244,-0.17717979,0.244,-0.02411266,0.7033,-0.02411266,0.7033,0.15306712,0.8612,0.15306712,0.8612
0,2,13,0.84688995,0.90384615,0.32099114,0.1830601,0.35087719,2,<sklearn.tree._tree.Tree object at 0x7ff3204d5e30>,-0.00376861,0.7033,-0.18682872,0.2392,-0.18682872,0.2392,-0.00376861,0.7033,-0.00376861,0.7033,0.1830601,0.8468,0.1830601,0.8468
0,2,15,0.86124402,0.84615384,0.31769361,0.23063877,0.15470494,2,<sklearn.tree._tree.Tree object at 0x7ff3204d5e30>,0.05860184,0.7033,0.0,0.6076,-0.23063878,0.1387,0.0,0.6076,0.05860184,0.7033,0.05860184,0.7033,0.23063877,0.8612
0,2,19,0.85167464,0.88461538,0.32028738,0.2551522,0.06874999,2,<sklearn.tree._tree.Tree object at 0x7ff3204d5e30>,0.06938929,0.6842,0.0,0.5789,-0.25515221,0.1483,0.0,0.5789,0.06938929,0.6842,0.06938929,0.6842,0.2551522,0.8516
0,2,21,0.73684211,0.78846153,0.29259962,0.14648956,0.27496159,2,<sklearn.tree._tree.Tree object at 0x7ff3204d5e30>,0.06499051,0.7224,-0.08149906,0.5885,-0.16764706,0.2727,-0.08149906,0.5885,0.06499051,0.7224,0.14648956,0.7368,0.14648956,0.7368
0,2,23,0.85167464,0.88461538,0.30694205,0.23436603,0.16041979,2,<sklearn.tree._tree.Tree object at 0x7ff3204d5e30>,0.06444826,0.6889,0.0,0.598,-0.23436604,0.1483,0.0,0.598,0.06444826,0.6889,0.06444826,0.6889,0.23436603,0.8516
0,2,25,0.75598086,0.71153846,0.27108433,0.16609294,0.19790104,2,<sklearn.tree._tree.Tree object at 0x7ff3204d5e30>,0.04895773,0.732,-0.11713521,0.5837,-0.18139224,0.2535,-0.11713521,0.5837,0.04895773,0.732,0.16609294,0.7559,0.16609294,0.7559
0,2,27,0.84688995,0.90384615,0.29337068,0.21858076,0.25,2,<sklearn.tree._tree.Tree object at 0x7ff3204d5e30>,0.01092436,0.6842,-0.2076564,0.2488,-0.21858077,0.1531,-0.2076564,0.2488,0.01092436,0.6842,0.01092436,0.6842,0.21858076,0.8468
0,2,29,0.87559809,0.78846153,0.33225806,0.2902277,-0.07219663,2,<sklearn.tree._tree.Tree object at 0x7ff3204d5e30>,0.08728652,0.7081,0.0,0.6028,-0.29022771,0.1244,-0.29022771,0.1244,0.08728652,0.7081,0.08728652,0.7081,0.2902277,0.8755
0,2,31,0.83732057,0.94230769,0.34052287,0.22670401,0.14583333,2,<sklearn.tree._tree.Tree object at 0x7ff3204d5e30>,0.0442577,0.6889,0.0,0.6172,-0.22670402,0.1626,0.0,0.6172,0.0442577,0.6889,0.0442577,0.6889,0.22670401,0.8373
